image,labels
cat.0.jpg,0
cat.a.0.jpg,0
cat.1.jpg,0
cat.a.1.jpg,0
cat.10.jpg,0
cat.a.10.jpg,0
cat.100.jpg,0
cat.a.100.jpg,0
cat.1000.jpg,0
cat.a.1000.jpg,0
cat.10000.jpg,0
cat.a.10000.jpg,0
cat.10001.jpg,0
cat.a.10001.jpg,0
cat.10002.jpg,0
cat.a.10002.jpg,0
cat.10003.jpg,0
cat.a.10003.jpg,0
cat.10004.jpg,0
cat.a.10004.jpg,0
cat.10005.jpg,0
cat.a.10005.jpg,0
cat.10006.jpg,0
cat.a.10006.jpg,0
cat.10007.jpg,0
cat.a.10007.jpg,0
cat.10008.jpg,0
cat.a.10008.jpg,0
cat.10009.jpg,0
cat.a.10009.jpg,0
cat.1001.jpg,0
cat.a.1001.jpg,0
cat.10010.jpg,0
cat.a.10010.jpg,0
cat.10011.jpg,0
cat.a.10011.jpg,0
cat.10012.jpg,0
cat.a.10012.jpg,0
cat.10013.jpg,0
cat.a.10013.jpg,0
cat.10014.jpg,0
cat.a.10014.jpg,0
cat.10015.jpg,0
cat.a.10015.jpg,0
cat.10016.jpg,0
cat.a.10016.jpg,0
cat.10017.jpg,0
cat.a.10017.jpg,0
cat.10018.jpg,0
cat.a.10018.jpg,0
cat.10019.jpg,0
cat.a.10019.jpg,0
cat.1002.jpg,0
cat.a.1002.jpg,0
cat.10020.jpg,0
cat.a.10020.jpg,0
cat.10021.jpg,0
cat.a.10021.jpg,0
cat.10022.jpg,0
cat.a.10022.jpg,0
cat.10023.jpg,0
cat.a.10023.jpg,0
cat.10024.jpg,0
cat.a.10024.jpg,0
cat.10025.jpg,0
cat.a.10025.jpg,0
cat.10026.jpg,0
cat.a.10026.jpg,0
cat.10027.jpg,0
cat.a.10027.jpg,0
cat.10028.jpg,0
cat.a.10028.jpg,0
cat.10029.jpg,0
cat.a.10029.jpg,0
cat.1003.jpg,0
cat.a.1003.jpg,0
cat.10030.jpg,0
cat.a.10030.jpg,0
cat.10031.jpg,0
cat.a.10031.jpg,0
cat.10032.jpg,0
cat.a.10032.jpg,0
cat.10033.jpg,0
cat.a.10033.jpg,0
cat.10034.jpg,0
cat.a.10034.jpg,0
cat.10035.jpg,0
cat.a.10035.jpg,0
cat.10036.jpg,0
cat.a.10036.jpg,0
cat.10037.jpg,0
cat.a.10037.jpg,0
cat.10038.jpg,0
cat.a.10038.jpg,0
cat.10039.jpg,0
cat.a.10039.jpg,0
cat.1004.jpg,0
cat.a.1004.jpg,0
cat.10040.jpg,0
cat.a.10040.jpg,0
cat.10041.jpg,0
cat.a.10041.jpg,0
cat.10042.jpg,0
cat.a.10042.jpg,0
cat.10043.jpg,0
cat.a.10043.jpg,0
cat.10044.jpg,0
cat.a.10044.jpg,0
cat.10045.jpg,0
cat.a.10045.jpg,0
cat.10046.jpg,0
cat.a.10046.jpg,0
cat.10047.jpg,0
cat.a.10047.jpg,0
cat.10048.jpg,0
cat.a.10048.jpg,0
cat.10049.jpg,0
cat.a.10049.jpg,0
cat.1005.jpg,0
cat.a.1005.jpg,0
cat.10050.jpg,0
cat.a.10050.jpg,0
cat.10051.jpg,0
cat.a.10051.jpg,0
cat.10052.jpg,0
cat.a.10052.jpg,0
cat.10053.jpg,0
cat.a.10053.jpg,0
cat.10054.jpg,0
cat.a.10054.jpg,0
cat.10055.jpg,0
cat.a.10055.jpg,0
cat.10056.jpg,0
cat.a.10056.jpg,0
cat.10057.jpg,0
cat.a.10057.jpg,0
cat.10058.jpg,0
cat.a.10058.jpg,0
cat.10059.jpg,0
cat.a.10059.jpg,0
cat.1006.jpg,0
cat.a.1006.jpg,0
cat.10060.jpg,0
cat.a.10060.jpg,0
cat.10061.jpg,0
cat.a.10061.jpg,0
cat.10062.jpg,0
cat.a.10062.jpg,0
cat.10063.jpg,0
cat.a.10063.jpg,0
cat.10064.jpg,0
cat.a.10064.jpg,0
cat.10065.jpg,0
cat.a.10065.jpg,0
cat.10066.jpg,0
cat.a.10066.jpg,0
cat.10067.jpg,0
cat.a.10067.jpg,0
cat.10068.jpg,0
cat.a.10068.jpg,0
cat.10069.jpg,0
cat.a.10069.jpg,0
cat.1007.jpg,0
cat.a.1007.jpg,0
cat.10070.jpg,0
cat.a.10070.jpg,0
cat.10071.jpg,0
cat.a.10071.jpg,0
cat.10072.jpg,0
cat.a.10072.jpg,0
cat.10073.jpg,0
cat.a.10073.jpg,0
cat.10074.jpg,0
cat.a.10074.jpg,0
cat.10075.jpg,0
cat.a.10075.jpg,0
cat.10076.jpg,0
cat.a.10076.jpg,0
cat.10077.jpg,0
cat.a.10077.jpg,0
cat.10078.jpg,0
cat.a.10078.jpg,0
cat.10079.jpg,0
cat.a.10079.jpg,0
cat.1008.jpg,0
cat.a.1008.jpg,0
cat.10080.jpg,0
cat.a.10080.jpg,0
cat.10081.jpg,0
cat.a.10081.jpg,0
cat.10082.jpg,0
cat.a.10082.jpg,0
cat.10083.jpg,0
cat.a.10083.jpg,0
cat.10084.jpg,0
cat.a.10084.jpg,0
cat.10085.jpg,0
cat.a.10085.jpg,0
cat.10086.jpg,0
cat.a.10086.jpg,0
cat.10087.jpg,0
cat.a.10087.jpg,0
cat.10088.jpg,0
cat.a.10088.jpg,0
cat.10089.jpg,0
cat.a.10089.jpg,0
cat.1009.jpg,0
cat.a.1009.jpg,0
cat.10090.jpg,0
cat.a.10090.jpg,0
cat.10091.jpg,0
cat.a.10091.jpg,0
cat.10092.jpg,0
cat.a.10092.jpg,0
cat.10093.jpg,0
cat.a.10093.jpg,0
cat.10094.jpg,0
cat.a.10094.jpg,0
cat.10095.jpg,0
cat.a.10095.jpg,0
cat.10096.jpg,0
cat.a.10096.jpg,0
cat.10097.jpg,0
cat.a.10097.jpg,0
cat.10098.jpg,0
cat.a.10098.jpg,0
cat.10099.jpg,0
cat.a.10099.jpg,0
cat.101.jpg,0
cat.a.101.jpg,0
cat.1010.jpg,0
cat.a.1010.jpg,0
cat.10100.jpg,0
cat.a.10100.jpg,0
cat.10101.jpg,0
cat.a.10101.jpg,0
cat.10102.jpg,0
cat.a.10102.jpg,0
cat.10103.jpg,0
cat.a.10103.jpg,0
cat.10104.jpg,0
cat.a.10104.jpg,0
cat.10105.jpg,0
cat.a.10105.jpg,0
cat.10106.jpg,0
cat.a.10106.jpg,0
cat.10107.jpg,0
cat.a.10107.jpg,0
cat.10108.jpg,0
cat.a.10108.jpg,0
cat.10109.jpg,0
cat.a.10109.jpg,0
cat.1011.jpg,0
cat.a.1011.jpg,0
cat.10110.jpg,0
cat.a.10110.jpg,0
cat.10111.jpg,0
cat.a.10111.jpg,0
cat.10112.jpg,0
cat.a.10112.jpg,0
cat.10113.jpg,0
cat.a.10113.jpg,0
cat.10114.jpg,0
cat.a.10114.jpg,0
cat.10115.jpg,0
cat.a.10115.jpg,0
cat.10116.jpg,0
cat.a.10116.jpg,0
cat.10117.jpg,0
cat.a.10117.jpg,0
cat.10118.jpg,0
cat.a.10118.jpg,0
cat.10119.jpg,0
cat.a.10119.jpg,0
cat.1012.jpg,0
cat.a.1012.jpg,0
cat.10120.jpg,0
cat.a.10120.jpg,0
cat.10121.jpg,0
cat.a.10121.jpg,0
cat.10122.jpg,0
cat.a.10122.jpg,0
cat.10123.jpg,0
cat.a.10123.jpg,0
cat.10124.jpg,0
cat.a.10124.jpg,0
cat.10125.jpg,0
cat.a.10125.jpg,0
cat.10126.jpg,0
cat.a.10126.jpg,0
cat.10127.jpg,0
cat.a.10127.jpg,0
cat.10128.jpg,0
cat.a.10128.jpg,0
cat.10129.jpg,0
cat.a.10129.jpg,0
cat.1013.jpg,0
cat.a.1013.jpg,0
cat.10130.jpg,0
cat.a.10130.jpg,0
cat.10131.jpg,0
cat.a.10131.jpg,0
cat.10132.jpg,0
cat.a.10132.jpg,0
cat.10133.jpg,0
cat.a.10133.jpg,0
cat.10134.jpg,0
cat.a.10134.jpg,0
cat.10135.jpg,0
cat.a.10135.jpg,0
cat.10136.jpg,0
cat.a.10136.jpg,0
cat.10137.jpg,0
cat.a.10137.jpg,0
cat.10138.jpg,0
cat.a.10138.jpg,0
cat.10139.jpg,0
cat.a.10139.jpg,0
cat.1014.jpg,0
cat.a.1014.jpg,0
cat.10140.jpg,0
cat.a.10140.jpg,0
cat.10141.jpg,0
cat.a.10141.jpg,0
cat.10142.jpg,0
cat.a.10142.jpg,0
cat.10143.jpg,0
cat.a.10143.jpg,0
cat.10144.jpg,0
cat.a.10144.jpg,0
cat.10145.jpg,0
cat.a.10145.jpg,0
cat.10146.jpg,0
cat.a.10146.jpg,0
cat.10147.jpg,0
cat.a.10147.jpg,0
cat.10148.jpg,0
cat.a.10148.jpg,0
cat.10149.jpg,0
cat.a.10149.jpg,0
cat.1015.jpg,0
cat.a.1015.jpg,0
cat.10150.jpg,0
cat.a.10150.jpg,0
cat.10151.jpg,0
cat.a.10151.jpg,0
cat.10152.jpg,0
cat.a.10152.jpg,0
cat.10153.jpg,0
cat.a.10153.jpg,0
cat.10154.jpg,0
cat.a.10154.jpg,0
cat.10155.jpg,0
cat.a.10155.jpg,0
cat.10156.jpg,0
cat.a.10156.jpg,0
cat.10157.jpg,0
cat.a.10157.jpg,0
cat.10158.jpg,0
cat.a.10158.jpg,0
cat.10159.jpg,0
cat.a.10159.jpg,0
cat.1016.jpg,0
cat.a.1016.jpg,0
cat.10160.jpg,0
cat.a.10160.jpg,0
cat.10161.jpg,0
cat.a.10161.jpg,0
cat.10162.jpg,0
cat.a.10162.jpg,0
cat.10163.jpg,0
cat.a.10163.jpg,0
